Scenario	Horizon	CapReq	Products	NumOfOrders	BatchSizes	System	WS1	WS2	WS3	WS4	WS5	WS6	WS7	WS8	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	WS1	WS2	WS3	WS4	WS5	WS6	WS7	WS8	OperatorCost	OperationCost	SetupCost	LatenessCost	Investment
11	40	255880	48	146	142	3	125	51	32	13	98	58	4	25	966	0	0	224	897	0	0	0	0	0	822	0	214	0	278	129	0	343	249	816	864	467	385	919	81	471	203	0	695	0	612	844	37	637	461	174	0	0	845	708	149	650	1016	0	498	0	341	348	0	272	0	0	344	176	159	767	94	32	0	767	728	0	99	658	0	225	137	41	25	21	12	27	20	5	12	6020	12260	700	11649	3861
12	40	820655	65	182	369	3	173	64	45	20	130	82	6	34	42	723	654	1563	597	535	1659	834	235	329	804	494	819	1018	127	514	1437	1508	1363	1496	1224	1561	1984	1004	398	1967	790	821	1714	1142	1369	1990	1962	1153	619	355	2494	1130	466	1994	1874	987	600	0	962	529	1677	254	4	487	1234	318	1289	325	1282	2074	0	1635	396	748	1069	1130	1118	2055	1260	157	777	41	25	21	12	27	20	5	12	17680	15200	830	21852	3861
13	40	922081	15	433	183	3	32	12	13	4	30	19	0	8	5315	0	0	0	0	0	7747	0	0	0	0	0	0	2898	0	0	4656	0	0	0	0	0	0	0	0	0	0	7380	0	2984	0	0	0	4284	4034	0	0	0	0	0	0	0	0	0	7610	0	0	0	0	6629	0	5556	0	6355	0	3664	0	0	0	0	5114	0	0	0	0	5046	0	38	22	20	11	24	19	5	12	22580	34930	1175	26031	3564
14	40	1068219	43	605	150	3	112	48	30	16	82	59	4	21	2072	1166	0	3748	0	1735	2899	1504	1391	1548	0	0	0	2604	0	0	1588	2528	2123	1336	1971	0	3235	4637	2216	3098	2603	0	0	2718	0	2203	2279	0	0	0	2054	2058	2039	1102	0	0	1309	0	2425	2712	0	2733	2193	1671	1109	1881	2412	1423	822	1409	1494	2688	0	2999	1654	0	0	1626	0	0	0	45	28	22	14	30	23	6	13	24800	51760	1705	99655	4262
15	40	1447903	9	364	289	3	24	12	6	1	18	12	0	5	0	11999	0	0	11948	0	0	0	0	0	0	0	0	0	0	0	11878	0	0	0	0	0	0	17932	0	0	0	0	0	0	0	0	6315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7372	10318	0	0	0	0	0	0	0	0	0	0	0	12338	14972	0	0	0	38	22	20	11	24	19	5	12	34220	31480	1040	37751	3564
16	40	2803113	38	634	341	3	109	32	31	15	74	47	4	17	0	0	0	7389	0	3759	0	4167	0	6307	6172	7792	3401	0	5638	0	0	2785	5790	6180	0	4463	6060	0	0	9758	5583	6912	1823	0	6584	6936	4130	5361	0	7872	0	0	0	0	0	0	3144	6181	4038	0	6417	4530	4320	0	6064	9733	0	5647	5370	7291	0	0	0	4248	0	7983	5366	4399	0	6517	0	57	34	30	18	36	29	6	16	61420	55100	1825	197504	5352
17	40	1538813	61	381	342	3	163	58	42	19	125	78	7	32	1410	689	2886	2030	3606	1905	4184	2954	3399	781	3481	2914	3293	2282	980	61	1723	1793	1836	0	2752	1210	0	2073	2415	2112	2245	3236	4105	2367	1740	1684	2250	951	2199	1832	2726	3701	3275	722	2126	961	3833	1158	1875	1905	193	1776	0	2511	836	2545	1272	3880	1592	1261	0	2593	3352	1206	2015	0	0	3353	1646	1823	617	52	31	27	15	33	26	6	15	33280	32960	1455	119311	4871
18	40	777218	33	225	302	3	90	28	21	10	67	39	3	17	1965	0	0	0	0	1516	0	0	0	0	0	0	1462	0	0	1420	2651	0	0	0	0	3828	1991	1967	1832	1878	1915	0	0	3498	0	3330	0	1794	1308	1629	1973	1928	0	0	0	692	0	0	2799	0	1359	3434	1991	0	2860	0	1574	0	0	2656	0	1229	2120	2101	2507	0	0	0	2848	485	1354	41	25	21	12	27	20	5	12	17140	18980	885	30666	3861
19	40	652597	5	301	345	3	6	8	3	0	9	7	0	2	0	20311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14994	0	0	0	0	0	0	20589	0	0	0	0	0	16728	0	0	0	0	31104	0	0	0	0	21	13	10	7	12	11	2	7	17620	21830	675	11579	1958
20	40	388254	64	475	78	3	165	64	43	20	128	81	7	30	425	454	803	579	430	506	0	462	832	283	425	204	518	900	343	792	68	375	529	599	1034	822	351	797	692	0	506	1194	113	803	468	375	1042	583	525	481	574	785	269	691	893	507	325	790	380	950	507	914	279	328	957	662	612	470	863	559	415	280	513	433	997	243	0	678	832	478	492	41	25	21	12	27	20	5	12	9480	39130	1475	55293	3861
21	40	285615	55	166	125	3	151	51	37	18	113	70	5	28	668	0	52	376	21	745	509	928	505	547	132	557	338	123	377	242	235	0	0	0	0	0	476	0	231	766	0	591	484	0	408	723	76	201	317	438	305	0	421	401	502	326	772	241	614	0	383	508	185	174	580	256	392	538	428	0	0	459	709	162	0	465	124	125	4	284	372	41	25	21	12	27	20	5	12	6520	14770	760	6828	3861
22	40	54792	13	205	33	3	33	10	8	6	23	17	0	6	0	0	578	385	0	0	0	0	0	0	0	0	0	669	0	0	0	0	391	0	0	0	0	318	0	0	0	0	0	641	482	470	0	0	0	0	0	0	0	0	0	734	499	0	0	0	0	0	0	0	0	483	0	0	0	0	0	415	0	0	734	0	0	0	0	0	0	33	19	17	8	21	16	5	11	2560	15960	770	1439	3083
23	40	78146	53	224	30	3	134	55	36	16	101	65	7	28	0	0	74	141	140	0	68	159	89	131	139	47	0	138	232	78	0	94	0	344	25	0	234	101	49	147	126	0	0	105	105	103	171	119	184	149	112	220	168	133	0	65	0	123	215	209	110	169	0	163	0	55	107	78	9	64	129	160	182	142	272	0	116	0	102	118	89	41	25	21	12	27	20	5	12	2120	19390	590	44724	3861
24	40	393110	13	460	96	3	34	14	8	4	26	17	1	5	0	3363	0	0	0	0	0	0	3845	2311	0	0	0	0	4118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3282	0	0	0	4204	0	0	0	4563	0	2916	0	3706	0	0	0	0	0	1854	0	2811	0	0	0	0	0	0	3520	0	0	0	3490	0	0	0	0	27	18	12	9	18	14	3	8	11540	37090	965	43107	2562
25	40	487551	13	317	144	3	27	12	6	3	22	12	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1472	2297	0	0	0	0	4760	0	0	0	0	0	1779	0	0	0	0	0	3586	0	0	0	3758	0	0	0	0	0	0	0	0	0	2721	0	0	4566	4184	3166	0	5249	0	3512	0	4584	0	0	0	0	0	0	0	0	0	29	16	14	9	18	15	4	9	12240	22170	820	38858	2658
26	40	678205	34	328	167	3	92	40	28	8	64	43	2	19	273	1319	0	0	0	0	1213	0	0	2859	0	2220	1721	991	0	0	2424	1085	0	0	0	1068	0	2107	0	0	1649	0	862	2381	0	0	0	748	0	1347	0	2431	879	1004	0	1748	0	0	3274	1307	2045	0	1858	1168	1445	0	0	0	1612	1166	2298	0	2882	0	1773	1097	0	0	903	1484	0	35	23	18	11	24	18	4	10	15480	28680	1155	50535	3388
27	40	1520878	33	557	269	3	78	33	25	9	64	45	2	14	0	2954	0	0	5500	3215	5795	0	4518	0	0	0	0	0	5587	7765	2836	3523	0	5208	0	0	5257	223	0	3260	6345	3514	0	0	3538	4968	0	3152	0	0	0	5004	0	5296	6135	4473	5526	0	2817	5248	0	0	2959	0	3681	0	0	7910	0	0	0	5159	0	4206	4484	0	4307	0	5300	0	0	49	31	23	16	33	26	7	14	34480	44630	1600	122451	4663
28	40	775843	44	571	120	3	106	52	26	14	83	58	7	23	0	1393	1399	0	0	0	1934	0	0	1912	1330	1029	1612	1844	1864	1577	1623	1760	0	784	1415	1827	0	1251	0	0	1539	1633	0	1122	870	1408	1506	0	1635	0	3108	1959	935	0	877	1414	1496	1567	0	960	1807	1944	2647	2839	1999	2158	992	1568	1430	0	1074	0	0	0	0	1316	0	1069	1036	0	0	37	23	16	11	24	18	5	12	18200	47690	1435	87069	3422
29	40	543153	24	135	364	3	67	26	23	8	49	37	1	13	0	0	1559	0	0	3698	2621	1843	698	1448	1733	0	3133	1684	0	0	0	2235	0	0	0	0	1413	0	0	1250	0	0	0	0	0	0	1642	2587	0	0	1320	0	0	0	0	0	2696	0	2874	1012	0	0	0	0	1527	0	375	0	0	0	2742	3720	0	0	0	0	3497	0	1812	0	0	35	21	15	11	21	18	5	12	12040	12960	595	18308	3219
30	40	751119	49	173	349	3	129	49	30	13	95	63	6	29	0	753	2014	0	1312	2366	705	3638	1061	0	0	550	0	0	1356	1517	896	1613	0	0	1330	1268	0	1578	843	1568	0	1508	0	1065	38	1465	866	1545	0	1170	82	220	295	1437	2024	0	0	2359	990	599	0	598	0	2122	0	1479	1430	0	967	2421	794	1063	1028	2790	0	404	275	684	908	1186	2255	41	25	21	12	27	20	5	12	16360	14750	775	24335	3861
31	40	1870833	54	455	362	3	140	51	36	16	105	68	5	30	2842	0	0	3448	3941	2441	3032	1313	0	2604	249	4705	1750	4739	2556	2737	2015	0	0	2884	2446	5358	1956	3053	3956	2235	0	1290	2968	4665	2809	4020	0	2381	3322	3040	0	1782	3364	1183	5584	4204	0	5038	806	0	4747	3580	0	0	4165	4613	2953	2667	3083	2808	3092	3093	4977	3368	2177	1519	2224	3474	3071	2449	0	53	31	29	16	33	26	5	15	40600	37720	1580	170591	4951
32	40	765568	27	600	118	3	62	27	13	6	49	31	3	17	0	0	0	0	2220	0	3299	0	1816	2379	0	0	0	3467	0	3241	3023	0	0	0	2194	0	773	0	0	0	1080	0	0	2326	2083	0	0	0	3382	2695	0	0	2533	2617	0	0	0	0	0	2911	0	4368	0	0	0	3428	2629	0	0	0	2417	2999	0	0	2055	3922	1732	2960	0	2151	0	41	25	21	12	27	20	5	12	19240	44850	1470	80546	3861
33	40	643395	18	182	316	3	44	24	15	3	37	26	3	15	0	0	2257	0	0	3195	0	0	0	1200	0	1090	0	0	0	6061	0	0	0	0	0	0	0	0	0	0	0	5755	2696	0	0	0	6607	0	0	0	0	0	2448	0	913	0	0	1228	5617	4439	0	0	0	0	0	0	2559	0	0	1198	0	2932	0	0	0	0	2468	0	4881	0	0	34	20	15	10	21	17	5	12	14540	16310	730	27118	3125
34	40	227964	12	114	168	3	33	10	9	4	18	12	1	6	0	0	1990	0	0	0	1347	0	0	0	0	0	1254	0	0	2419	0	0	2105	0	0	0	0	0	0	0	1589	0	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	988	0	1107	0	0	0	0	0	0	1589	0	0	0	0	1180	2349	0	0	0	0	0	33	19	19	10	21	16	3	8	5560	8590	475	773	3087
35	40	566175	7	356	236	3	11	7	0	2	19	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13318	0	0	0	0	0	0	0	0	0	0	0	0	8387	13815	0	0	0	12512	7736	0	12635	0	0	0	0	0	0	0	0	0	0	15751	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	13	9	21	15	4	10	16380	21990	955	24700	2855
36	40	1089625	17	342	396	3	38	17	10	7	38	23	3	5	0	5364	0	7731	7914	0	0	0	7857	0	0	0	9429	0	0	0	6241	0	0	0	0	11210	0	0	0	0	0	0	0	0	3462	4410	5373	0	10220	0	6515	0	0	0	10126	0	9096	0	0	0	0	10038	0	0	0	0	10060	0	0	0	0	0	0	0	10503	0	0	0	0	0	0	38	22	20	11	24	19	5	12	25140	27880	1150	85339	3564
37	40	722158	28	205	310	3	71	36	22	5	56	38	3	18	3141	0	0	0	0	2585	0	0	2943	2280	1428	3578	576	0	0	3084	1160	0	1696	3754	2660	0	0	935	0	0	0	0	0	2223	0	0	0	1387	0	2263	0	2882	0	0	345	0	0	0	0	2843	2847	0	0	3838	0	1935	1913	0	0	1908	2668	0	0	3081	0	0	0	0	1474	2124	0	35	23	18	11	24	18	4	10	16020	18150	815	34995	3388
38	40	1039855	34	293	322	3	85	38	21	14	70	41	6	9	0	2781	1670	6201	2667	3503	0	1900	2997	5385	0	2989	0	1478	1007	0	0	0	0	0	0	880	0	0	1720	3417	2368	0	819	0	0	3683	1744	0	2078	0	3975	2641	4135	0	2173	2096	0	2730	2029	3160	1420	4420	0	0	0	4393	0	3129	0	0	0	3694	3964	0	1045	0	0	0	0	0	0	46	28	24	15	30	23	5	13	22940	26510	1085	58508	4342
39	40	541879	43	428	121	3	101	46	24	11	90	54	5	22	1253	1747	1691	0	0	1420	0	0	0	0	1229	1391	1395	1146	947	0	2217	0	881	1656	1123	1373	1316	0	949	0	0	1461	871	1342	922	0	1054	352	1786	937	1133	0	1397	1022	981	1113	0	0	915	0	0	1256	1365	1527	0	1229	812	1035	986	0	1482	0	0	698	0	0	950	813	1386	1233	0	48	28	26	13	30	23	5	14	12880	35050	1405	67266	4470
40	40	1068262	21	323	283	3	60	21	20	5	44	24	1	7	0	0	0	8311	0	5247	0	0	4998	2473	4182	0	0	0	0	0	2971	0	4366	0	0	0	2643	6125	0	5800	0	0	3584	4605	0	0	0	3072	4062	0	0	0	0	0	0	0	0	5184	0	5011	1878	0	0	0	0	0	0	0	0	0	0	3745	0	3543	3692	5780	0	0	0	0	0	42	26	23	12	27	21	4	12	24100	28160	1115	74700	3997
41	40	475690	6	107	389	3	18	3	2	5	12	8	0	3	0	0	0	0	0	0	0	5235	4835	0	0	0	0	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	10315	0	0	0	0	0	0	0	0	0	9414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10091	0	0	0	0	21	13	10	7	12	11	2	7	10940	9920	390	6389	1958
42	40	453474	37	498	81	3	106	39	30	16	79	40	2	15	0	1432	0	1019	1289	857	0	1580	1666	1515	1795	0	1387	0	555	0	765	1310	0	0	0	0	0	1118	740	1005	1260	0	0	0	0	1127	1091	1654	1100	968	0	595	1048	2003	0	0	922	1015	0	938	962	0	0	0	613	0	0	991	940	889	0	753	0	0	1313	782	0	0	0	873	418	48	28	26	13	30	23	5	14	11380	43680	1300	72068	4470
43	40	198154	11	162	94	3	27	14	9	2	22	17	3	3	0	1441	0	743	0	0	0	0	0	0	0	1526	0	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437	1496	0	0	1512	0	0	1620	0	953	0	0	0	0	0	0	0	0	1011	0	0	0	0	1924	0	0	0	38	22	20	11	24	19	5	12	5320	13590	640	3530	3564
44	40	828314	5	427	162	3	11	7	1	0	6	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17856	0	0	0	0	9938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9387	0	0	0	14891	0	0	0	0	0	14	11	4	5	12	8	3	4	22440	28310	685	30610	1392
45	40	519127	24	489	92	3	69	20	22	5	46	29	3	14	0	0	2490	1832	0	569	0	0	1682	920	0	0	0	0	0	2657	0	1887	0	0	2162	0	1688	0	0	2664	0	2740	3503	1383	0	0	858	0	2003	0	2360	0	0	0	1506	1692	0	0	0	0	0	0	1689	0	0	1917	1644	0	0	0	1373	0	1654	0	0	0	0	0	2304	0	0	46	28	24	15	30	23	5	13	13580	41870	1290	40363	4342
46	40	601316	17	139	330	3	56	13	12	10	32	19	2	8	0	0	0	0	1621	0	1250	3205	0	4238	0	0	0	0	0	0	5912	2195	1471	0	0	0	0	0	547	2974	2638	0	0	0	0	0	0	0	0	0	0	1858	0	0	0	4072	1779	0	0	0	0	2474	0	0	0	0	0	2246	0	3838	0	0	0	0	0	0	0	0	3573	0	0	40	26	21	14	27	21	4	11	13380	12690	595	11161	3869
47	40	466689	42	197	243	3	104	38	34	13	84	55	6	18	0	525	962	970	968	0	0	0	0	2207	2889	912	1514	757	281	0	0	1035	2049	0	718	792	1644	0	0	0	1267	266	317	880	0	1030	0	694	1862	1282	207	0	0	1187	392	2149	0	0	1343	1419	0	1136	2145	813	0	0	949	1167	1137	1384	0	902	732	0	844	1654	1410	0	1093	0	0	41	25	21	12	27	20	5	12	10480	16700	775	20497	3861
48	40	2064769	40	621	330	3	109	38	24	12	78	48	5	18	0	0	7461	0	7879	3853	0	0	8263	4300	8343	0	5254	0	6397	6013	0	4552	5358	5144	4439	5880	2027	3674	3873	5336	5552	5079	4074	6788	0	5482	6198	0	0	0	0	2213	0	4480	3905	0	4324	5462	0	0	5817	5000	0	0	0	5859	0	5304	0	0	4243	0	1643	4310	0	5476	4932	0	6541	0	4440	55	33	28	16	36	28	7	16	46000	50710	1920	201622	5178
49	40	887011	55	475	162	3	147	54	39	17	111	67	4	28	0	1624	0	1234	2210	1302	1209	1806	1444	1565	0	0	0	0	2346	795	1184	2604	2150	2218	0	2114	2060	1202	1494	2016	1608	1220	1075	1168	1388	1211	368	449	978	747	0	630	1418	997	1957	1846	1414	1566	1137	1279	619	1763	0	735	0	1890	1898	1847	0	1327	0	1311	1493	1069	1285	1996	1557	554	1638	788	108	48	28	26	13	30	23	5	14	20020	40220	1420	117950	4470
50	40	123853	43	285	38	3	104	46	23	13	86	51	5	18	0	430	0	0	0	0	430	182	106	0	336	0	106	252	364	300	0	362	0	279	0	0	264	205	352	154	63	0	0	194	0	200	272	233	259	107	145	0	0	69	237	360	0	363	480	354	144	290	0	131	0	77	152	125	273	0	344	0	176	252	375	0	315	411	0	260	0	41	25	21	12	27	20	5	12	3520	23010	960	23668	3861
51	40	619904	47	312	161	3	120	50	33	17	94	64	5	24	1031	267	1182	937	0	0	503	953	968	1057	1199	0	1100	1210	142	2536	0	662	53	739	469	1315	0	0	970	848	1607	1631	922	824	1249	804	0	0	0	0	1136	1188	2089	1045	629	775	1053	704	1469	1455	1496	0	1652	0	0	507	1728	740	0	1009	1159	1163	1241	0	0	1998	0	0	0	0	936	41	25	21	12	27	20	5	12	14080	27130	1225	54399	3861
52	40	70682	31	316	17	3	96	33	21	9	61	40	2	18	181	0	176	260	127	0	0	203	0	0	185	0	0	157	0	0	0	0	258	0	0	95	0	237	130	228	0	0	0	0	79	0	135	0	0	0	229	0	173	73	0	221	211	0	0	154	242	121	0	108	237	0	0	0	129	136	97	180	246	0	0	0	327	0	0	0	56	41	25	21	12	27	20	5	12	2800	29800	1035	4923	3861
53	40	254850	36	269	76	3	92	41	28	13	75	48	2	19	0	426	0	766	0	0	637	440	187	0	425	0	969	0	526	0	0	0	203	906	0	394	591	1013	474	457	64	0	0	675	243	0	0	541	0	0	421	502	447	455	0	0	356	0	698	1228	0	0	0	0	0	0	1116	621	949	0	290	0	221	707	685	659	574	686	0	0	0	41	25	21	12	27	20	5	12	6360	23810	925	22564	3861
54	40	968748	12	504	150	3	35	12	6	4	20	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6025	0	0	9288	0	0	0	0	0	0	0	0	0	0	0	6191	5710	5735	0	8037	7557	0	0	0	0	0	0	5339	0	0	0	2322	8395	0	0	6547	0	0	4297	0	0	31	21	13	10	21	16	4	10	24520	42140	1085	35558	2949
55	40	155321	64	320	39	3	173	59	44	18	125	81	7	31	139	0	286	142	222	142	247	279	310	162	102	137	178	49	0	275	362	0	205	270	278	179	137	117	52	447	264	157	74	252	268	103	132	212	125	59	223	210	0	201	247	278	309	153	128	222	197	244	66	329	116	240	463	281	124	108	55	217	63	109	133	237	211	256	298	211	226	41	25	21	12	27	20	5	12	4220	27150	1250	15687	3861
56	40	378820	8	331	75	3	24	9	4	2	16	7	0	3	0	0	1712	0	4073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3804	0	0	0	3111	2753	2206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3469	0	34	19	19	10	21	17	4	10	11700	26440	955	4661	3177
57	40	507802	49	238	173	3	134	52	37	17	99	68	4	30	923	0	1100	1332	0	292	674	2131	1213	1074	1177	0	0	1312	976	870	1297	827	12	1186	545	957	1156	1268	623	291	0	0	0	329	594	69	0	85	0	0	887	756	530	488	616	0	440	0	736	1211	0	2062	767	676	956	0	1128	0	559	398	1169	1197	829	0	0	945	248	1415	64	686	0	41	25	21	12	27	20	5	12	11500	20770	980	38184	3861
58	40	696363	49	600	107	3	119	44	30	14	92	68	6	24	865	1357	511	1114	1467	0	1092	731	1109	0	0	1751	939	1570	1298	306	1696	1700	1398	563	984	1552	1778	1883	0	0	549	1330	0	1966	1123	1074	323	0	1467	1487	0	1830	0	0	1936	0	0	954	1369	1503	1132	1271	1065	1311	0	1935	1356	0	1501	1927	0	0	1307	884	1231	1832	0	1155	2118	1623	0	48	28	26	13	30	23	5	14	16620	48350	1585	108293	4470
59	40	2007959	40	441	367	3	107	48	24	10	78	52	3	15	0	4477	0	0	7340	4232	1769	0	0	5848	1325	0	4137	3281	8313	0	0	4596	3069	4242	0	0	2978	0	4982	2750	0	3244	3485	5995	0	7058	3702	0	5256	5286	0	4213	0	2153	578	2146	4882	6142	3383	3763	3710	5307	5599	3354	0	2236	3295	0	0	2557	0	0	0	0	2193	0	0	4870	0	4137	0	57	34	30	18	36	29	6	16	43720	37750	1510	93912	5352
60	40	286333	62	544	45	3	167	61	38	17	124	79	7	32	184	414	0	0	531	561	133	361	349	349	551	299	535	462	604	509	350	203	553	425	472	639	61	416	276	217	368	514	372	0	191	584	0	281	319	339	460	443	397	416	343	589	492	287	238	0	186	415	162	322	327	412	38	524	382	339	479	666	696	501	567	568	268	377	314	314	564	44	27	22	13	30	22	6	13	7540	45630	1565	47874	4168
61	40	133679	51	268	42	3	123	50	31	17	103	65	7	25	368	409	38	0	0	0	306	282	176	113	77	411	301	0	132	331	0	0	0	78	229	88	0	279	167	223	265	214	430	151	143	304	122	211	261	0	218	296	0	180	175	179	76	37	0	347	0	219	574	440	159	63	340	310	0	0	0	137	114	121	219	83	367	140	133	0	160	45	28	22	14	30	23	6	13	3760	22720	1050	7584	4262
